,upperRightShoulder,upperLeftShoulder,handRaise
0,132,304,0
1,131,131,0
2,131,164,0
3,131,169,0
4,139,146,0
5,133,225,0
6,137,27,0
7,134,27,0
8,138,28,0
9,166,168,0
10,144,150,0
11,129,135,1
12,132,141,1
13,143,151,1
14,145,33,1
15,144,153,1
16,137,32,1
17,125,127,1
18,124,32,1
19,124,32,1
20,125,32,1
21,127,131,1
22,128,131,1
23,131,136,1
24,133,33,1
25,134,34,1
26,134,34,1
27,135,34,1
28,134,32,1
29,129,152,1
30,132,149,1
31,151,156,0
32,172,171,0
33,178,179,0
34,186,189,0
35,195,195,0
36,201,202,0
37,204,207,0
38,206,209,0
39,204,208,0
40,201,200,0
41,181,185,0
42,158,168,0
43,143,145,0
44,136,139,0
45,134,143,0
46,144,150,0
47,188,33,0
48,128,35,0
49,130,33,1
50,133,31,1
